date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:29	10107/10107	---M--	200	added ('OK')	text/html	etag:%2259c44b9e-277b%22	http://homescapeshack.site/	C:/Users/shash/Desktop/Buisness/Plans/Homescapes/name/homescapeshack.site/index.html	(from )
15:43:29	24/24	---M--	200	added ('OK')	text/plain	etag:%2259c42ec0-18%22	http://homescapeshack.site/robots.txt		(from )
15:43:31	13445/13445	---M--	200	added ('OK')	text/css	etag:%2259c42ec2-3485%22	http://homescapeshack.site/css/style.css	C:/Users/shash/Desktop/Buisness/Plans/Homescapes/name/homescapeshack.site/css/style.css	(from http://homescapeshack.site/)
15:43:31	122529/122529	---M--	200	added ('OK')	text/css	etag:%2259c42ec1-1dea1%22	http://homescapeshack.site/css/bootstrap.min.css	C:/Users/shash/Desktop/Buisness/Plans/Homescapes/name/homescapeshack.site/css/bootstrap.min.css	(from http://homescapeshack.site/)
15:43:31	26714/26714	---M--	200	added ('OK')	text/css	etag:%2259c42ec2-685a%22	http://homescapeshack.site/css/font-awesome.min.css	C:/Users/shash/Desktop/Buisness/Plans/Homescapes/name/homescapeshack.site/css/font-awesome.min.css	(from http://homescapeshack.site/)
15:43:32	55222/55222	---M--	200	added ('OK')	text/css	etag:%2259c42ec1-d7b6%22	http://homescapeshack.site/css/animate.min.css	C:/Users/shash/Desktop/Buisness/Plans/Homescapes/name/homescapeshack.site/css/animate.min.css	(from http://homescapeshack.site/)
15:43:34	9662/9662	---M--	200	added ('OK')	image/x-icon	etag:%2259c42ec6-25be%22	http://homescapeshack.site/img/favicon.ico	C:/Users/shash/Desktop/Buisness/Plans/Homescapes/name/homescapeshack.site/img/favicon.ico	(from http://homescapeshack.site/)
15:43:34	34449/34449	---MC-	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202017%2022:20:10%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/shash/Desktop/Buisness/Plans/Homescapes/name/www.google-analytics.com/analytics.js	(from http://homescapeshack.site/)
15:43:35	10107/10107	---M--	200	added ('OK')	text/html	etag:%2259c44b9e-277b%22	http://homescapeshack.site/index.html	C:/Users/shash/Desktop/Buisness/Plans/Homescapes/name/homescapeshack.site/index-2.html	(from http://homescapeshack.site/)
15:43:37	10882/10882	---M--	200	added ('OK')	image/png	etag:%2259c42ec6-2a82%22	http://homescapeshack.site/img/shield.png	C:/Users/shash/Desktop/Buisness/Plans/Homescapes/name/homescapeshack.site/img/shield.png	(from http://homescapeshack.site/)
15:43:42	34710/34710	---M--	200	added ('OK')	image/png	etag:%2259c42ec5-8796%22	http://homescapeshack.site/img/coins.png	C:/Users/shash/Desktop/Buisness/Plans/Homescapes/name/homescapeshack.site/img/coins.png	(from http://homescapeshack.site/)
15:43:43	36066/36066	---M--	200	added ('OK')	image/png	etag:%2259c42ec5-8ce2%22	http://homescapeshack.site/img/cash.png	C:/Users/shash/Desktop/Buisness/Plans/Homescapes/name/homescapeshack.site/img/cash.png	(from http://homescapeshack.site/)
